Date,Open,High,Low,Close,Adj Close,Volume
2004-08-27,1.500547,1.507543,1.486556,1.490054,0.989056,5237984
2004-08-30,1.490054,1.512789,1.476063,1.502296,0.997182,5076768
2004-08-31,1.521534,1.556512,1.514538,1.528529,1.014595,15664935
2004-09-01,1.530278,1.533776,1.483058,1.486556,0.986734,9874548
2004-09-02,1.486556,1.497049,1.470816,1.495301,0.992539,8492025
2004-09-03,1.497049,1.498798,1.477812,1.483058,0.984412,9103505
2004-09-06,1.483058,1.483058,1.460323,1.469067,0.975125,10229402
2004-09-07,1.469067,1.486556,1.469067,1.484807,0.985573,5870151
2004-09-08,1.486556,1.490054,1.469067,1.479561,0.982091,5550680
2004-09-09,1.477812,1.477812,1.460323,1.465569,0.972804,8257008
2004-09-10,1.460323,1.469067,1.439336,1.463821,0.971643,9061335
2004-09-13,1.462072,1.462072,1.430592,1.434089,0.951908,8738891
2004-09-14,1.444583,1.486556,1.437587,1.477812,0.980930,19940246
2004-09-15,1.493552,1.544269,1.472565,1.521534,1.009952,46049400
2004-09-16,1.553014,1.563507,1.530278,1.535525,1.019238,43269391
2004-09-17,1.535525,1.580996,1.532027,1.579247,1.048260,52984392
2004-09-20,1.579247,1.631714,1.579247,1.629965,1.081925,73276245
2004-09-21,1.633463,1.633463,1.591489,1.607229,1.066833,47307975
2004-09-22,1.605481,1.626467,1.547767,1.556512,1.033169,63288047
2004-09-23,1.556512,1.612476,1.540772,1.607229,1.066833,22377529
2004-09-24,1.619472,1.631714,1.570503,1.570503,1.042456,103578584
2004-09-27,1.575749,1.603732,1.518036,1.521534,1.009952,40972414
2004-09-28,1.521534,1.542521,1.512789,1.528529,1.014595,19820593
2004-09-29,1.523283,1.530278,1.491803,1.497049,0.993699,27811730
2004-09-30,1.497049,1.502296,1.470816,1.484807,0.985573,28611214
2004-10-01,null,null,null,null,null,null
2004-10-04,null,null,null,null,null,null
2004-10-05,null,null,null,null,null,null
2004-10-06,null,null,null,null,null,null
2004-10-07,null,null,null,null,null,null
2004-10-08,1.484807,1.490054,1.448080,1.488305,0.987895,25551474
2004-10-11,1.483058,1.500547,1.469067,1.483058,0.984412,24056777
2004-10-12,1.483058,1.483058,1.439336,1.448080,0.961195,22745500
2004-10-13,1.451578,1.465569,1.449829,1.455076,0.965839,34755528
2004-10-14,1.456825,1.460323,1.434089,1.441085,0.956552,26844488
2004-10-15,1.441085,1.453327,1.430592,1.437587,0.954230,25262496
2004-10-18,1.434089,1.442834,1.393865,1.406107,0.933334,27279164
2004-10-19,1.402609,1.439336,1.395614,1.407856,0.934495,17672231
2004-10-20,1.407856,1.407856,1.358887,1.372878,0.911278,39943630
2004-10-21,1.371129,1.371129,1.267945,1.276689,0.847430,113425172
2004-10-22,1.276689,1.302923,1.259200,1.281936,0.850913,39643291
2004-10-25,1.302923,1.309918,1.252205,1.257451,0.834661,35908385
2004-10-26,1.255703,1.288931,1.246958,1.285434,0.853235,36024053
2004-10-27,1.287183,1.308169,1.276689,1.302923,0.864844,26821416
2004-10-28,1.309918,1.320412,1.294178,1.313416,0.871809,37110742
2004-10-29,1.311667,1.355389,1.274940,1.295927,0.860200,149819294
2004-11-01,1.294178,1.297676,1.267945,1.278438,0.848591,33650708
2004-11-02,1.278438,1.302923,1.266196,1.301174,0.863683,20757685
2004-11-03,1.297676,1.323909,1.294178,1.309918,0.869487,26508904
2004-11-04,1.311667,1.330905,1.283685,1.290680,0.856717,19132568
2004-11-05,1.297676,1.315165,1.285434,1.301174,0.863683,10228127
2004-11-08,1.295927,1.306420,1.287183,1.302923,0.864844,7211676
2004-11-09,1.302923,1.308169,1.288931,1.294178,0.859039,7653877
2004-11-10,1.295927,1.353640,1.290680,1.341398,0.890382,42304688
2004-11-11,1.339649,1.357138,1.327407,1.329156,0.882256,54634330
2004-11-12,1.329156,1.341398,1.313416,1.332654,0.884578,18832824
2004-11-15,1.332654,1.346645,1.306420,1.327407,0.881096,24943225
2004-11-16,1.330905,1.339649,1.320412,1.336152,0.886900,17413512
2004-11-17,1.339649,1.339649,1.306420,1.316914,0.874130,21988282
2004-11-18,1.315165,1.318663,1.306420,1.316914,0.874130,17276277
2004-11-19,1.320412,1.346645,1.320412,1.334403,0.885739,21808831
2004-11-22,1.332654,1.343147,1.320412,1.341398,0.890382,16791569
2004-11-23,1.341398,1.341398,1.318663,1.320412,0.876453,15401871
2004-11-24,1.320412,1.330905,1.311667,1.311667,0.870648,13210858
2004-11-25,1.311667,1.311667,1.288931,1.294178,0.859039,34115122
2004-11-26,1.294178,1.308169,1.290680,1.295927,0.860200,18377272
2004-11-29,1.294178,1.306420,1.276689,1.278438,0.848591,16132660
2004-11-30,1.278438,1.280187,1.259200,1.266196,0.840465,25700019
2004-12-01,1.262698,1.271443,1.260949,1.264447,0.839305,12133501
2004-12-02,1.264447,1.273191,1.257451,1.267945,0.841626,13561183
2004-12-03,1.271443,1.276689,1.264447,1.264447,0.839305,14051769
2004-12-06,1.264447,1.273191,1.255703,1.266196,0.840465,13616916
2004-12-07,1.266196,1.285434,1.264447,1.274940,0.846269,14734973
2004-12-08,1.285434,1.294178,1.276689,1.281936,0.850913,12914219
2004-12-09,1.283685,1.330905,1.271443,1.299425,0.862522,53378808
2004-12-10,1.299425,1.302923,1.276689,1.281936,0.850913,19347785
2004-12-13,1.269694,1.281936,1.259200,1.273191,0.845108,13365339
2004-12-14,1.274940,1.274940,1.252205,1.259200,0.835821,16495118
2004-12-15,1.257451,1.273191,1.246958,1.255703,0.833500,21241180
2004-12-16,1.259200,1.292429,1.248707,1.262698,0.838144,36550621
2004-12-17,1.255703,1.269694,1.252205,1.253954,0.832340,17811896
2004-12-20,1.250456,1.262698,1.234716,1.236465,0.820731,18035873
2004-12-21,1.241711,1.248707,1.217227,1.220725,0.810283,18352336
2004-12-22,1.220725,1.245209,1.218976,1.241711,0.824213,20943351
2004-12-23,1.243460,1.278438,1.238214,1.245209,0.826535,63169664
2004-12-24,1.243460,1.259200,1.236465,1.243460,0.825374,20655128
2004-12-27,1.241711,1.250456,1.222474,1.229469,0.816087,16052180
2004-12-28,1.231218,1.236465,1.218976,1.227720,0.814926,8251490
2004-12-29,1.229469,1.239963,1.220725,1.224223,0.812605,10962924
2004-12-30,1.224223,1.231218,1.215478,1.224223,0.812605,16428625
2004-12-31,1.224223,1.234716,1.222474,1.224223,0.812605,13781769
2005-01-03,null,null,null,null,null,null
2005-01-04,1.220725,1.220725,1.192743,1.203236,0.798674,21779178
2005-01-05,1.203236,1.203236,1.175254,1.183998,0.785905,29877486
2005-01-06,1.189245,1.194491,1.159514,1.168258,0.775457,24576152
2005-01-07,1.168258,1.182249,1.163011,1.171756,0.777779,24946473
2005-01-10,1.189245,1.215478,1.177003,1.211980,0.804478,40684431
2005-01-11,1.211980,1.227720,1.206734,1.225971,0.813765,39426005
2005-01-12,1.227720,1.229469,1.208483,1.218976,0.809122,15995567
2005-01-13,1.215478,1.227720,1.213729,1.217227,0.807961,7346527
2005-01-14,1.217227,1.238214,1.206734,1.210231,0.803317,9897980
2005-01-17,1.206734,1.210231,1.187496,1.189245,0.789387,14985349
2005-01-18,1.189245,1.203236,1.177003,1.203236,0.798674,9124701
2005-01-19,1.203236,1.203236,1.182249,1.185747,0.787066,5885961
2005-01-20,1.180500,1.185747,1.163011,1.175254,0.780101,12068099
2005-01-21,1.175254,1.292429,1.171756,1.292429,0.857878,236571098
2005-01-24,1.341398,1.357138,1.297676,1.337900,0.888060,267317021
2005-01-25,1.320412,1.322160,1.287183,1.306420,0.867165,153213069
2005-01-26,1.306420,1.327407,1.290680,1.297676,0.861361,92806260
2005-01-27,1.292429,1.313416,1.267945,1.276689,0.847430,61798989
2005-01-28,1.273191,1.304672,1.260949,1.301174,0.863683,59529990
2005-01-31,1.294178,1.301174,1.273191,1.288931,0.855556,43814005
2005-02-01,1.287183,1.322160,1.280187,1.311667,0.870648,65331418
2005-02-02,1.311667,1.390367,1.304672,1.378125,0.914761,136698898
2005-02-03,1.378125,1.381623,1.334403,1.339649,0.889221,78776265
2005-02-04,1.339649,1.451578,1.329156,1.420098,0.942621,138204213
2005-02-07,null,null,null,null,null,null
2005-02-08,null,null,null,null,null,null
2005-02-09,null,null,null,null,null,null
2005-02-10,null,null,null,null,null,null
2005-02-11,null,null,null,null,null,null
2005-02-14,null,null,null,null,null,null
2005-02-15,null,null,null,null,null,null
2005-02-16,1.427094,1.448080,1.400860,1.406107,0.933334,72724089
2005-02-17,1.406107,1.406107,1.364134,1.376376,0.913600,66141268
2005-02-18,1.378125,1.392116,1.355389,1.364134,0.905474,46268825
2005-02-21,1.390367,1.420098,1.372878,1.411354,0.936817,96272190
2005-02-22,1.411354,1.430592,1.397363,1.418349,0.941460,58915829
2005-02-23,1.418349,1.418349,1.378125,1.383372,0.918243,87905421
2005-02-24,1.381623,1.404358,1.371129,1.378125,0.914761,58248085
2005-02-25,1.390367,1.418349,1.381623,1.393865,0.925208,65603962
2005-02-28,1.390367,1.390367,1.339649,1.353640,0.898508,99708369
2005-03-01,1.355389,1.355389,1.323909,1.332654,0.884578,62461363
2005-03-02,1.332654,1.350143,1.320412,1.329156,0.882256,50412121
2005-03-03,1.329156,1.353640,1.325658,1.351892,0.897348,35910598
2005-03-04,1.351892,1.353640,1.330905,1.339649,0.889221,29057223
2005-03-07,1.332654,1.348394,1.329156,1.337900,0.888060,16125192
2005-03-08,1.344896,1.365883,1.311667,1.360636,0.903152,75089738
2005-03-09,1.360636,1.364134,1.320412,1.323909,0.878774,75390758
2005-03-10,1.329156,1.339649,1.294178,1.302923,0.864844,47615353
2005-03-11,1.302923,1.318663,1.290680,1.295927,0.860200,33495020
2005-03-14,1.297676,1.302923,1.267945,1.288931,0.855556,40471794
2005-03-15,1.290680,1.294178,1.246958,1.252205,0.831179,43876073
2005-03-16,1.252205,1.262698,1.246958,1.252205,0.831179,29443411
2005-03-17,1.255703,1.271443,1.246958,1.246958,0.827696,36543714
2005-03-18,1.246958,1.271443,1.245209,1.257451,0.834661,30443565
2005-03-21,1.259200,1.273191,1.252205,1.266196,0.840465,20376420
2005-03-22,1.266196,1.266196,1.194491,1.196240,0.794030,51145621
2005-03-23,1.196240,1.225971,1.185747,1.208483,0.802157,42395522
2005-03-24,1.208483,1.215478,1.190994,1.208483,0.802157,20273246
2005-03-25,1.208483,1.213729,1.192743,1.199738,0.796352,17160563
2005-03-28,1.199738,1.206734,1.187496,1.206734,0.800996,16808008
2005-03-29,1.206734,1.225971,1.206734,1.210231,0.803317,19453715
2005-03-30,1.210231,1.211980,1.178751,1.180500,0.783583,24537533
2005-03-31,1.177003,1.211980,1.171756,1.210231,0.803317,22478216
2005-04-01,1.210231,1.294178,1.194491,1.266196,0.840465,64275651
2005-04-04,1.232967,1.243460,1.217227,1.224223,0.812605,36065662
2005-04-05,1.224223,1.232967,1.217227,1.227720,0.814926,14822023
2005-04-06,1.224223,1.259200,1.197989,1.257451,0.834661,47801442
2005-04-07,1.259200,1.353640,1.252205,1.294178,0.859039,110869757
2005-04-08,1.294178,1.325658,1.280187,1.315165,0.872969,56859090
2005-04-11,1.316914,1.348394,1.297676,1.309918,0.869487,78398059
2005-04-12,1.308169,1.311667,1.287183,1.290680,0.856717,37097614
2005-04-13,1.294178,1.344896,1.294178,1.308169,0.868326,53534267
2005-04-14,1.308169,1.318663,1.281936,1.285434,0.853235,31778892
2005-04-15,1.273191,1.276689,1.248707,1.269694,0.842787,33169242
2005-04-18,1.250456,1.267945,1.239963,1.248707,0.828857,28694839
2005-04-19,1.243460,1.262698,1.243460,1.260949,0.836982,35659965
2005-04-20,1.257451,1.257451,1.201487,1.208483,0.802157,43316609
2005-04-21,1.208483,1.224223,1.204985,1.210231,0.803317,21457408
2005-04-22,1.203236,1.222474,1.197989,1.217227,0.807961,31769932
2005-04-25,1.208483,1.231218,1.206734,1.224223,0.812605,30831319
2005-04-26,1.224223,1.243460,1.218976,1.231218,0.817248,19787973
2005-04-27,null,null,null,null,null,null
2005-04-28,1.215478,1.215478,1.154267,1.201487,0.797513,56788971
2005-04-29,1.199738,1.259200,1.189245,1.227720,0.814926,52258492
2005-05-02,null,null,null,null,null,null
2005-05-03,null,null,null,null,null,null
2005-05-04,null,null,null,null,null,null
2005-05-05,null,null,null,null,null,null
2005-05-06,null,null,null,null,null,null
2005-05-09,1.239963,1.241711,1.204985,1.206734,0.800996,25209131
2005-05-10,1.206734,1.241711,1.204985,1.231218,0.817248,28056314
2005-05-11,1.232967,1.253954,1.225971,1.234716,0.819570,31610534
2005-05-12,1.232967,1.232967,1.192743,1.192743,0.805399,30976486
2005-05-13,1.189245,1.217227,1.180500,1.199738,0.810122,22025169
2005-05-16,1.197989,1.211980,1.182249,1.203236,0.812484,12253011
2005-05-17,1.203236,1.231218,1.194491,1.213729,0.819570,17144593
2005-05-18,1.224223,1.227720,1.196240,1.206734,0.814846,21785617
2005-05-19,1.208483,1.234716,1.203236,1.231218,0.831379,20104962
2005-05-20,1.232967,1.234716,1.215478,1.217227,0.821932,12935501
2005-05-23,1.217227,1.217227,1.180500,1.190994,0.804218,39548517
2005-05-24,1.183998,1.204985,1.182249,1.197989,0.808941,18030864
2005-05-25,1.203236,1.217227,1.189245,1.192743,0.805399,17946033
2005-05-26,1.194491,1.203236,1.171756,1.178751,0.795951,18442022
2005-05-27,1.178751,1.192743,1.164760,1.171756,0.791228,15096986
2005-05-30,1.171756,1.189245,1.157765,1.187496,0.801856,11010211
2005-05-31,1.187496,1.194491,1.168258,1.171756,0.791228,16185173
2005-06-01,1.171756,1.178751,1.145523,1.152518,0.778237,20043838
2005-06-02,1.150769,1.163011,1.121038,1.133280,0.765247,38145124
2005-06-03,1.129783,1.170007,1.129783,1.154267,0.779418,30605468
2005-06-06,1.152518,1.175254,1.136778,1.168258,0.788865,16265161
2005-06-07,1.171756,1.189245,1.156016,1.164760,0.786503,19508870
2005-06-08,1.281936,1.281936,1.170007,1.255703,0.847913,89705362
2005-06-09,1.255703,1.267945,1.227720,1.245209,0.840827,75440080
2005-06-10,1.245209,1.288931,1.234716,1.253954,0.846732,85918194
2005-06-13,1.253954,1.269694,1.225971,1.243460,0.839646,34084428
2005-06-14,1.248707,1.255703,1.232967,1.236465,0.834922,31236822
2005-06-15,1.232967,1.238214,1.215478,1.222474,0.825475,23608527
2005-06-16,1.225971,1.283685,1.225971,1.280187,0.864446,126754494
2005-06-17,1.283685,1.315165,1.267945,1.304672,0.880979,107255127
2005-06-20,1.315165,1.346645,1.292429,1.322160,0.892788,119949218
2005-06-21,1.327407,1.348394,1.311667,1.329156,0.897512,82676504
2005-06-22,1.323909,1.353640,1.318663,1.350143,0.911683,75789942
2005-06-23,1.355389,1.357138,1.320412,1.329156,0.897512,50481285
2005-06-24,1.320412,1.344896,1.306420,1.332654,0.899874,75867100
2005-06-27,1.355389,1.372878,1.329156,1.339649,0.904597,67282615
2005-06-28,null,null,null,null,null,null
2005-06-29,1.329156,1.332654,1.302923,1.316914,0.889245,34388993
2005-06-30,1.313416,1.364134,1.295927,1.337900,0.903416,41189037
2005-07-01,1.325658,1.325658,1.278438,1.287183,0.869170,26923927
2005-07-04,1.276689,1.301174,1.269694,1.299425,0.877436,17657381
2005-07-05,1.299425,1.311667,1.276689,1.294178,0.873893,14742424
2005-07-06,1.299425,1.313416,1.290680,1.295927,0.875074,12653825
2005-07-07,1.290680,1.311667,1.278438,1.285434,0.867989,12245646
2005-07-08,1.285434,1.287183,1.259200,1.262698,0.852636,15448083
2005-07-11,1.278438,1.304672,1.276689,1.280187,0.864446,20030200
2005-07-12,1.276689,1.404358,1.267945,1.376376,0.929397,112031745
2005-07-13,1.364134,1.372878,1.344896,1.351892,0.912864,33895491
2005-07-14,1.346645,1.374627,1.343147,1.358887,0.917588,24653367
2005-07-15,1.360636,1.379874,1.357138,1.362385,0.919950,40469867
2005-07-18,1.355389,1.385120,1.350143,1.379874,0.931759,36389313
2005-07-19,1.379874,1.421847,1.369380,1.385120,0.935301,65039844
2005-07-20,1.381623,1.413103,1.372878,1.381623,0.932940,36589423
2005-07-21,1.385120,1.395614,1.357138,1.385120,0.935301,36513512
2005-07-22,1.402609,1.455076,1.392116,1.430592,0.966006,130582551
2005-07-25,1.434089,1.458574,1.420098,1.446332,0.976635,67725633
2005-07-26,1.437587,1.486556,1.435838,1.453327,0.981358,87861290
2005-07-27,1.451578,1.460323,1.428843,1.451578,0.980177,48847443
2005-07-28,1.451578,1.469067,1.434089,1.448080,0.977815,45823085
2005-07-29,1.444583,1.458574,1.434089,1.458574,0.984901,42019570
2005-08-01,1.456825,1.467318,1.414852,1.421847,0.960101,57090076
2005-08-02,1.416600,1.437587,1.416600,1.435838,0.969549,42657529
2005-08-03,1.437587,1.456825,1.432340,1.437587,0.970730,51339881
2005-08-04,1.434089,1.448080,1.423596,1.432340,0.967187,24747667
2005-08-05,1.427094,1.479561,1.425345,1.472565,0.994349,69367412
2005-08-08,1.479561,1.507543,1.477812,1.481309,1.000253,54155690
2005-08-09,1.477812,1.493552,1.462072,1.486556,1.003796,39646173
2005-08-10,1.486556,1.526781,1.477812,1.512789,1.021510,52677083
2005-08-11,1.512789,1.547767,1.505794,1.532027,1.034500,73537617
2005-08-12,1.533776,1.549516,1.484807,1.488305,1.004977,60275977
2005-08-15,1.490054,1.512789,1.483058,1.512789,1.021510,44872099
2005-08-16,1.518036,1.546018,1.474314,1.484807,1.002615,82244676
2005-08-17,1.477812,1.504045,1.460323,1.495301,1.009701,59805130
2005-08-18,1.495301,1.498798,1.430592,1.439336,0.971911,68943554
2005-08-19,1.434089,1.470816,1.434089,1.465569,0.989625,42706056
2005-08-22,1.465569,1.472565,1.442834,1.465569,0.989625,25733732
2005-08-23,1.470816,1.472565,1.439336,1.451578,0.980177,26934980
2005-08-24,1.460323,1.490054,1.453327,1.481309,1.000253,80090487
2005-08-25,1.477812,1.498798,1.472565,1.490054,1.006158,27491996
2005-08-26,1.500547,1.519785,1.481309,1.488305,1.004977,24252147
2005-08-29,1.488305,1.504045,1.477812,1.477812,0.997892,28871985
2005-08-30,1.477812,1.488305,1.469067,1.479561,0.999073,14175287
2005-08-31,1.472565,1.490054,1.469067,1.483058,1.001434,25397141
2005-09-01,1.483058,1.518036,1.467318,1.507543,1.017967,54030101
2005-09-02,1.504045,1.512789,1.495301,1.509292,1.019149,30718402
2005-09-05,1.509292,1.514538,1.493552,1.497049,1.010881,21495318
2005-09-06,1.493552,1.495301,1.465569,1.469067,0.991987,33404031
2005-09-07,1.467318,1.481309,1.453327,1.476063,0.996711,31530712
2005-09-08,1.479561,1.495301,1.469067,1.493552,1.008520,36814812
2005-09-09,1.490054,1.500547,1.479561,1.483058,1.001434,25414747
